attempt_number,total_students,completed_students,mean_correct,sd_correct,median_correct,minimum_correct,maximum_correct,mean_score,sd_score,median_score,minimum_score,maximum_score,mean_weighted_score,sd_weighted_score
1,35,35,12.114285714285714,1.8434530988693716,12,6,15,80.76190476190476,12.28968732579582,80,40,100,82.66794815719618,11.976871538854358
2,32,32,12.5,2.5272706175226958,13,5,15,83.33333333333333,16.84847078348464,86.66666666666667,33.33333333333333,100,84.62572476108497,17.237621293197467
